"ATBoth.count"	"freq"
"1"	2	445
"2"	3	408
"3"	4	369
"4"	5	307
"5"	6	234
"6"	7	199
"7"	8	181
"8"	9	133
"9"	10	122
"10"	11	99
"11"	12	116
"12"	13	84
"13"	14	84
"14"	15	58
"15"	16	51
"16"	17	48
"17"	18	57
"18"	19	52
"19"	20	34
"20"	21	36
"21"	22	21
"22"	23	34
"23"	24	23
"24"	25	23
"25"	26	29
"26"	27	21
"27"	28	34
"28"	29	21
"29"	30	27
"30"	31	15
"31"	32	18
"32"	33	18
"33"	34	19
"34"	35	15
"35"	36	12
"36"	37	11
"37"	38	4
"38"	39	9
"39"	40	11
"40"	41	9
"41"	42	9
"42"	43	9
"43"	44	9
"44"	45	8
"45"	46	8
"46"	47	10
"47"	48	6
"48"	49	10
"49"	50	5
"50"	51	4
"51"	52	5
"52"	53	4
"53"	54	1
"54"	55	3
"55"	56	1
"56"	57	5
"57"	58	3
"58"	59	4
"59"	60	2
"60"	61	3
"61"	62	4
"62"	63	5
"63"	64	2
"64"	65	4
"65"	67	1
"66"	68	1
"67"	69	3
"68"	70	2
"69"	71	2
"70"	72	4
"71"	74	1
"72"	75	3
"73"	76	3
"74"	77	1
"75"	78	2
"76"	80	3
"77"	85	1
"78"	86	1
"79"	88	1
"80"	89	2
"81"	92	1
"82"	95	1
"83"	97	1
"84"	98	1
"85"	99	1
"86"	105	2
"87"	109	1
"88"	111	1
"89"	115	1
"90"	118	1
"91"	125	1
"92"	126	1
"93"	131	1
"94"	134	2
"95"	137	1
"96"	146	1
"97"	147	1
"98"	150	1
"99"	151	1
"100"	152	1
"101"	154	1
"102"	157	1
"103"	158	2
"104"	162	1
"105"	164	1
"106"	170	1
"107"	172	1
"108"	181	1
"109"	184	1
"110"	186	1
"111"	194	1
"112"	220	1
"113"	223	1
"114"	231	1
"115"	232	1
"116"	238	1
"117"	242	1
"118"	264	1
"119"	279	1
"120"	360	1
"121"	448	1
"122"	1336	1
