"DMBoth.count"	"freq"
"1"	2	453
"2"	3	431
"3"	4	386
"4"	5	319
"5"	6	285
"6"	7	229
"7"	8	218
"8"	9	185
"9"	10	166
"10"	11	160
"11"	12	107
"12"	13	128
"13"	14	115
"14"	15	104
"15"	16	107
"16"	17	94
"17"	18	81
"18"	19	66
"19"	20	71
"20"	21	60
"21"	22	61
"22"	23	51
"23"	24	55
"24"	25	40
"25"	26	56
"26"	27	44
"27"	28	38
"28"	29	30
"29"	30	32
"30"	31	34
"31"	32	28
"32"	33	34
"33"	34	27
"34"	35	26
"35"	36	21
"36"	37	14
"37"	38	23
"38"	39	19
"39"	40	28
"40"	41	26
"41"	42	18
"42"	43	20
"43"	44	13
"44"	45	9
"45"	46	18
"46"	47	13
"47"	48	12
"48"	49	10
"49"	50	12
"50"	51	13
"51"	52	11
"52"	53	11
"53"	54	9
"54"	55	11
"55"	56	8
"56"	57	5
"57"	58	6
"58"	59	12
"59"	60	4
"60"	61	4
"61"	62	5
"62"	63	9
"63"	64	4
"64"	65	12
"65"	66	6
"66"	67	4
"67"	68	6
"68"	69	3
"69"	70	5
"70"	71	6
"71"	72	2
"72"	73	2
"73"	74	7
"74"	75	3
"75"	76	2
"76"	77	4
"77"	78	5
"78"	79	4
"79"	80	3
"80"	81	2
"81"	82	3
"82"	83	1
"83"	84	4
"84"	85	2
"85"	86	4
"86"	87	3
"87"	88	3
"88"	89	6
"89"	90	4
"90"	91	2
"91"	92	2
"92"	93	1
"93"	94	1
"94"	95	1
"95"	97	2
"96"	98	1
"97"	99	1
"98"	100	1
"99"	102	1
"100"	103	1
"101"	104	3
"102"	105	1
"103"	106	2
"104"	107	2
"105"	109	1
"106"	110	1
"107"	111	2
"108"	112	1
"109"	117	1
"110"	119	1
"111"	122	1
"112"	126	1
"113"	128	1
"114"	131	1
"115"	132	1
"116"	134	1
"117"	139	1
"118"	141	1
"119"	142	1
"120"	148	2
"121"	162	1
"122"	173	1
"123"	174	1
"124"	175	2
"125"	178	1
"126"	185	1
"127"	200	1
"128"	234	1
"129"	242	1
"130"	275	1
