"HSBoth.count"	"freq"
"1"	2	593
"2"	3	548
"3"	4	427
"4"	5	414
"5"	6	373
"6"	7	403
"7"	8	353
"8"	9	346
"9"	10	313
"10"	11	305
"11"	12	268
"12"	13	241
"13"	14	227
"14"	15	211
"15"	16	246
"16"	17	201
"17"	18	153
"18"	19	200
"19"	20	190
"20"	21	168
"21"	22	161
"22"	23	166
"23"	24	114
"24"	25	144
"25"	26	125
"26"	27	149
"27"	28	123
"28"	29	120
"29"	30	119
"30"	31	109
"31"	32	116
"32"	33	96
"33"	34	124
"34"	35	104
"35"	36	83
"36"	37	89
"37"	38	83
"38"	39	97
"39"	40	95
"40"	41	85
"41"	42	76
"42"	43	73
"43"	44	81
"44"	45	69
"45"	46	73
"46"	47	70
"47"	48	81
"48"	49	56
"49"	50	70
"50"	51	56
"51"	52	51
"52"	53	71
"53"	54	42
"54"	55	47
"55"	56	55
"56"	57	54
"57"	58	43
"58"	59	36
"59"	60	42
"60"	61	43
"61"	62	34
"62"	63	40
"63"	64	44
"64"	65	46
"65"	66	40
"66"	67	43
"67"	68	41
"68"	69	29
"69"	70	29
"70"	71	42
"71"	72	33
"72"	73	33
"73"	74	29
"74"	75	26
"75"	76	34
"76"	77	40
"77"	78	25
"78"	79	32
"79"	80	25
"80"	81	33
"81"	82	25
"82"	83	28
"83"	84	20
"84"	85	30
"85"	86	29
"86"	87	23
"87"	88	15
"88"	89	28
"89"	90	16
"90"	91	23
"91"	92	13
"92"	93	15
"93"	94	12
"94"	95	11
"95"	96	16
"96"	97	19
"97"	98	22
"98"	99	23
"99"	100	21
"100"	101	17
"101"	102	23
"102"	103	10
"103"	104	14
"104"	105	17
"105"	106	11
"106"	107	9
"107"	108	8
"108"	109	9
"109"	110	18
"110"	111	10
"111"	112	17
"112"	113	14
"113"	114	15
"114"	115	7
"115"	116	9
"116"	117	7
"117"	118	10
"118"	119	12
"119"	120	17
"120"	121	16
"121"	122	9
"122"	123	13
"123"	124	7
"124"	125	7
"125"	126	11
"126"	127	12
"127"	128	7
"128"	129	9
"129"	130	6
"130"	131	9
"131"	132	9
"132"	133	9
"133"	134	7
"134"	135	5
"135"	136	5
"136"	137	6
"137"	138	11
"138"	139	7
"139"	140	7
"140"	141	4
"141"	142	10
"142"	143	14
"143"	144	8
"144"	145	7
"145"	146	8
"146"	147	7
"147"	148	8
"148"	149	6
"149"	150	8
"150"	151	8
"151"	152	7
"152"	153	6
"153"	154	4
"154"	155	7
"155"	156	2
"156"	157	5
"157"	158	5
"158"	159	5
"159"	160	6
"160"	161	5
"161"	162	3
"162"	163	4
"163"	164	7
"164"	165	8
"165"	166	5
"166"	167	4
"167"	168	4
"168"	169	2
"169"	170	2
"170"	171	2
"171"	172	6
"172"	173	4
"173"	174	2
"174"	175	5
"175"	176	4
"176"	177	5
"177"	178	4
"178"	179	5
"179"	180	6
"180"	181	3
"181"	182	3
"182"	183	4
"183"	184	2
"184"	185	4
"185"	186	8
"186"	187	4
"187"	188	3
"188"	189	2
"189"	190	4
"190"	191	4
"191"	192	3
"192"	193	4
"193"	194	5
"194"	195	4
"195"	196	2
"196"	197	3
"197"	198	7
"198"	199	3
"199"	200	4
"200"	201	3
"201"	202	4
"202"	203	3
"203"	204	3
"204"	205	2
"205"	206	5
"206"	207	1
"207"	208	2
"208"	209	4
"209"	210	5
"210"	211	4
"211"	212	3
"212"	213	2
"213"	214	3
"214"	215	1
"215"	216	4
"216"	217	2
"217"	218	6
"218"	219	5
"219"	220	1
"220"	221	4
"221"	222	5
"222"	223	1
"223"	225	5
"224"	226	2
"225"	227	2
"226"	228	2
"227"	229	2
"228"	231	1
"229"	232	3
"230"	233	2
"231"	234	1
"232"	235	4
"233"	237	3
"234"	238	3
"235"	242	2
"236"	243	1
"237"	244	6
"238"	245	4
"239"	246	4
"240"	247	3
"241"	248	2
"242"	249	1
"243"	250	2
"244"	251	2
"245"	252	2
"246"	253	1
"247"	255	1
"248"	257	1
"249"	258	3
"250"	259	3
"251"	261	2
"252"	262	1
"253"	263	5
"254"	264	2
"255"	265	1
"256"	266	2
"257"	267	1
"258"	268	1
"259"	271	3
"260"	272	2
"261"	273	1
"262"	274	2
"263"	275	1
"264"	276	1
"265"	277	1
"266"	278	1
"267"	281	1
"268"	282	2
"269"	283	1
"270"	284	3
"271"	287	4
"272"	288	2
"273"	289	1
"274"	290	3
"275"	291	2
"276"	293	1
"277"	294	2
"278"	295	2
"279"	297	2
"280"	299	1
"281"	300	2
"282"	301	1
"283"	302	1
"284"	303	2
"285"	305	1
"286"	308	3
"287"	310	2
"288"	311	2
"289"	312	1
"290"	313	2
"291"	316	1
"292"	317	2
"293"	318	1
"294"	320	2
"295"	323	1
"296"	325	2
"297"	326	2
"298"	329	4
"299"	331	2
"300"	332	1
"301"	334	1
"302"	335	1
"303"	336	2
"304"	340	1
"305"	341	1
"306"	344	1
"307"	345	2
"308"	349	1
"309"	350	1
"310"	351	1
"311"	352	1
"312"	355	1
"313"	356	1
"314"	361	1
"315"	364	1
"316"	365	2
"317"	367	1
"318"	368	1
"319"	369	1
"320"	376	1
"321"	377	1
"322"	379	1
"323"	380	2
"324"	382	1
"325"	383	1
"326"	388	1
"327"	389	1
"328"	390	1
"329"	391	2
"330"	399	1
"331"	401	1
"332"	404	1
"333"	406	2
"334"	409	2
"335"	413	1
"336"	420	1
"337"	422	1
"338"	424	1
"339"	425	1
"340"	427	1
"341"	429	1
"342"	434	1
"343"	438	1
"344"	446	1
"345"	448	1
"346"	453	2
"347"	467	1
"348"	469	1
"349"	472	1
"350"	474	1
"351"	476	1
"352"	490	1
"353"	492	1
"354"	498	2
"355"	501	1
"356"	502	1
"357"	506	1
"358"	550	1
"359"	552	1
"360"	565	1
"361"	574	1
"362"	576	1
"363"	600	1
"364"	610	1
"365"	621	2
