"SPBoth.count"	"freq"
"1"	2	89
"2"	3	76
"3"	4	71
"4"	5	73
"5"	6	68
"6"	7	59
"7"	8	71
"8"	9	56
"9"	10	68
"10"	11	60
"11"	12	65
"12"	13	53
"13"	14	32
"14"	15	45
"15"	16	41
"16"	17	37
"17"	18	36
"18"	19	41
"19"	20	22
"20"	21	35
"21"	22	29
"22"	23	37
"23"	24	26
"24"	25	22
"25"	26	30
"26"	27	21
"27"	28	19
"28"	29	20
"29"	30	19
"30"	31	13
"31"	32	20
"32"	33	14
"33"	34	13
"34"	35	16
"35"	36	14
"36"	37	10
"37"	38	14
"38"	39	15
"39"	40	9
"40"	41	7
"41"	42	13
"42"	43	29
"43"	44	9
"44"	45	7
"45"	46	11
"46"	47	9
"47"	48	12
"48"	49	11
"49"	50	13
"50"	51	14
"51"	52	5
"52"	53	6
"53"	54	11
"54"	55	7
"55"	56	6
"56"	57	7
"57"	58	7
"58"	59	10
"59"	60	6
"60"	61	8
"61"	62	9
"62"	63	4
"63"	64	4
"64"	65	3
"65"	66	8
"66"	67	8
"67"	68	6
"68"	69	4
"69"	70	6
"70"	71	9
"71"	72	5
"72"	73	7
"73"	74	1
"74"	75	7
"75"	76	3
"76"	77	3
"77"	78	2
"78"	79	4
"79"	80	2
"80"	81	5
"81"	82	4
"82"	83	5
"83"	84	3
"84"	85	4
"85"	86	5
"86"	87	5
"87"	88	6
"88"	89	3
"89"	90	4
"90"	91	2
"91"	92	2
"92"	93	3
"93"	94	6
"94"	96	2
"95"	97	7
"96"	98	4
"97"	99	6
"98"	100	2
"99"	101	4
"100"	102	2
"101"	103	2
"102"	104	4
"103"	105	7
"104"	106	5
"105"	107	1
"106"	108	2
"107"	109	1
"108"	110	2
"109"	111	1
"110"	112	2
"111"	113	1
"112"	114	1
"113"	115	2
"114"	116	2
"115"	117	1
"116"	118	4
"117"	119	2
"118"	121	1
"119"	122	3
"120"	123	2
"121"	124	5
"122"	125	1
"123"	126	2
"124"	127	4
"125"	128	2
"126"	129	2
"127"	130	1
"128"	131	2
"129"	132	4
"130"	133	4
"131"	134	2
"132"	135	3
"133"	136	1
"134"	138	1
"135"	139	1
"136"	140	2
"137"	141	2
"138"	142	4
"139"	143	2
"140"	144	3
"141"	145	2
"142"	146	2
"143"	151	3
"144"	152	1
"145"	155	1
"146"	156	3
"147"	158	1
"148"	159	1
"149"	160	1
"150"	161	2
"151"	162	2
"152"	163	2
"153"	164	1
"154"	165	1
"155"	166	2
"156"	168	1
"157"	169	2
"158"	170	2
"159"	172	1
"160"	173	1
"161"	175	2
"162"	176	1
"163"	177	1
"164"	178	2
"165"	179	2
"166"	182	1
"167"	183	2
"168"	186	1
"169"	187	4
"170"	191	1
"171"	192	1
"172"	193	1
"173"	194	1
"174"	198	1
"175"	199	1
"176"	200	1
"177"	202	1
"178"	203	1
"179"	204	3
"180"	205	1
"181"	206	1
"182"	207	2
"183"	209	1
"184"	210	2
"185"	211	2
"186"	213	1
"187"	214	1
"188"	215	1
"189"	220	2
"190"	221	3
"191"	223	1
"192"	225	1
"193"	226	2
"194"	227	2
"195"	228	1
"196"	229	1
"197"	230	1
"198"	232	1
"199"	233	1
"200"	235	1
"201"	237	2
"202"	240	1
"203"	241	1
"204"	244	1
"205"	245	1
"206"	246	1
"207"	248	2
"208"	250	2
"209"	252	1
"210"	253	1
"211"	256	1
"212"	258	1
"213"	260	1
"214"	262	2
"215"	264	1
"216"	265	1
"217"	268	1
"218"	275	1
"219"	276	2
"220"	279	2
"221"	282	1
"222"	284	1
"223"	285	1
"224"	290	2
"225"	291	1
"226"	295	1
"227"	297	1
"228"	300	1
"229"	301	2
"230"	303	1
"231"	304	2
"232"	306	1
"233"	308	1
"234"	311	1
"235"	312	2
"236"	313	1
"237"	314	1
"238"	321	2
"239"	323	1
"240"	324	2
"241"	325	1
"242"	326	1
"243"	328	1
"244"	330	1
"245"	334	1
"246"	336	1
"247"	337	1
"248"	339	2
"249"	342	1
"250"	343	1
"251"	347	1
"252"	349	1
"253"	352	2
"254"	355	1
"255"	357	1
"256"	362	2
"257"	365	2
"258"	367	1
"259"	379	2
"260"	384	1
"261"	390	1
"262"	399	1
"263"	407	1
"264"	447	1
"265"	457	1
"266"	465	1
"267"	467	1
"268"	468	1
"269"	477	2
"270"	498	1
"271"	515	1
"272"	525	1
"273"	544	1
"274"	573	1
"275"	587	1
"276"	651	1
