"Yeast.Yeast.V1.a."	"Yeast.Yeast.V3.a."
"1"	"YDL209C"	"LSR1"
"2"	"YAL033W"	"NME1"
"3"	"Q0045"	"Q0140"
"4"	"Q0045"	"Q0250"
"7"	"Q0045"	"Q0275"
"11"	"YBL045C"	"Q0045"
"13"	"YGL187C"	"Q0045"
"15"	"YGR112W"	"Q0045"
"19"	"YHR051W"	"Q0045"
"20"	"YIL157C"	"Q0045"
"22"	"YJL062W-A"	"Q0045"
"26"	"YLR203C"	"Q0045"
"31"	"Q0045"	"YLR203C"
"34"	"YML030W"	"Q0045"
"35"	"YML129C"	"Q0045"
"38"	"YNR018W"	"Q0045"
"39"	"YJR121W"	"Q0080"
"40"	"YLR203C"	"Q0080"
"41"	"YPL078C"	"Q0080"
"43"	"YBL099W"	"Q0085"
"44"	"YDR375C"	"Q0085"
"45"	"YER154W"	"Q0085"
"46"	"YJR121W"	"Q0085"
"49"	"YLR203C"	"Q0085"
"50"	"YLR393W"	"Q0085"
"52"	"YPL078C"	"Q0085"
"55"	"Q0105"	"YDR529C"
"56"	"Q0105"	"YGR174C"
"57"	"YHL038C"	"Q0105"
"58"	"Q0105"	"YJL166W"
"59"	"YLR203C"	"Q0105"
"60"	"Q0105"	"YPL215W"
"61"	"YPR191W"	"Q0105"
"63"	"YIR021W"	"Q0115"
"65"	"YLR382C"	"Q0120"
"66"	"Q0120"	"YLR382C"
"69"	"Q0130"	"Q0130"
"70"	"YBL099W"	"Q0130"
"71"	"YER154W"	"Q0130"
"72"	"YLR203C"	"Q0130"
"73"	"YPL078C"	"Q0130"
"75"	"YBL030C"	"Q0250"
"78"	"YBL045C"	"Q0250"
"82"	"YBR037C"	"Q0250"
"83"	"YDR231C"	"Q0250"
"84"	"YER154W"	"Q0250"
"86"	"YGL187C"	"Q0250"
"88"	"YGR062C"	"Q0250"
"89"	"YGR112W"	"Q0250"
"90"	"YHR051W"	"Q0250"
"91"	"YLR203C"	"Q0250"
"94"	"YML030W"	"Q0250"
"96"	"YML129C"	"Q0250"
"98"	"Q0250"	"YMR257C"
"101"	"YMR257C"	"Q0250"
"102"	"Q0275"	"YER153C"
"105"	"YER154W"	"Q0275"
"106"	"YGR222W"	"Q0275"
"107"	"YLR203C"	"Q0275"
"109"	"YML030W"	"Q0275"
"111"	"YML129C"	"Q0275"
"112"	"YNR045W"	"Q0275"
"113"	"Q0275"	"YNR045W"
"116"	"YDR101C"	"RDN25-1"
"117"	"YDR432W"	"RDN25-1"
"118"	"YOL041C"	"RDN25-1"
"119"	"YDR101C"	"RDN25-2"
"120"	"YDR432W"	"RDN25-2"
"121"	"YOL041C"	"RDN58-1"
"122"	"YAR007C"	"TLC1"
"123"	"TLC1"	"YBL088C"
"125"	"YDL220C"	"TLC1"
"129"	"TLC1"	"YER095W"
"131"	"TLC1"	"YGR072W"
"132"	"TLC1"	"YHR077C"
"133"	"YLR233C"	"TLC1"
"136"	"YLR318W"	"TLC1"
"139"	"TLC1"	"YLR453C"
"140"	"TLC1"	"YML032C"
"143"	"TLC1"	"YML036W"
"145"	"TLC1"	"YMR080C"
"146"	"YMR284W"	"TLC1"
"147"	"TLC1"	"YNL250W"
"149"	"TLC1"	"YPL178W"
"150"	"YBR123C"	"YAL001C"
"152"	"YAL001C"	"YBR123C"
"156"	"YAL001C"	"YDR362C"
"158"	"YAL001C"	"YGR047C"
"161"	"YAL001C"	"YGR246C"
"162"	"YAL001C"	"YHR143W-A"
"163"	"YLL013C"	"YAL001C"
"164"	"YAL001C"	"YOR110W"
"166"	"YBL007C"	"YAL002W"
"167"	"YBL103C"	"YAL002W"
"168"	"YBR171W"	"YAL002W"
"169"	"YCR009C"	"YAL002W"
"171"	"YDL077C"	"YAL002W"
