"colBoth.protein"	"colBoth.count"
"1"	"AT1G01040"	5
"2"	"AT1G01060"	2
"3"	"AT1G01510"	2
"4"	"AT1G01640"	2
"5"	"AT1G02090"	3
"6"	"AT1G02140"	4
"7"	"AT1G02280"	9
"8"	"AT1G02340"	14
"9"	"AT1G02840"	7
"10"	"AT1G02860"	2
"11"	"AT1G02910"	2
"12"	"AT1G03430"	5
"13"	"AT1G03840"	6
"14"	"AT1G03970"	3
"15"	"AT1G04020"	2
"16"	"AT1G04400"	5
"17"	"AT1G04450"	2
"18"	"AT1G04550"	2
"19"	"AT1G05560"	2
"20"	"AT1G06040"	2
"21"	"AT1G06700"	2
"22"	"AT1G06770"	4
"23"	"AT1G06950"	8
"24"	"AT1G08370"	4
"25"	"AT1G08560"	5
"26"	"AT1G09020"	10
"27"	"AT1G09070"	2
"28"	"AT1G09530"	17
"29"	"AT1G09570"	21
"30"	"AT1G09700"	8
"31"	"AT1G10230"	5
"32"	"AT1G10270"	2
"33"	"AT1G10470"	10
"34"	"AT1G10940"	9
"35"	"AT1G11400"	4
"36"	"AT1G12220"	2
"37"	"AT1G12980"	7
"38"	"AT1G13320"	2
"39"	"AT1G13600"	4
"40"	"AT1G13980"	4
"41"	"AT1G14400"	3
"42"	"AT1G14440"	9
"43"	"AT1G14920"	6
"44"	"AT1G15220"	2
"45"	"AT1G15550"	4
"46"	"AT1G15750"	4
"47"	"AT1G16240"	5
"48"	"AT1G16890"	8
"49"	"AT1G16970"	5
"50"	"AT1G19180"	3
"51"	"AT1G19220"	2
"52"	"AT1G19350"	5
"53"	"AT1G19850"	2
"54"	"AT1G20020"	5
"55"	"AT1G20090"	3
"56"	"AT1G20140"	3
"57"	"AT1G21410"	3
"58"	"AT1G21780"	4
"59"	"AT1G21980"	12
"60"	"AT1G22070"	5
"61"	"AT1G22710"	4
"62"	"AT1G22770"	12
"63"	"AT1G22840"	2
"64"	"AT1G23260"	4
"65"	"AT1G23420"	2
"66"	"AT1G23490"	4
"67"	"AT1G23820"	3
"68"	"AT1G23860"	6
"69"	"AT1G24150"	2
"70"	"AT1G24260"	9
"71"	"AT1G24590"	6
"72"	"AT1G26670"	6
"73"	"AT1G26830"	16
"74"	"AT1G26945"	2
"75"	"AT1G28200"	3
"76"	"AT1G28490"	8
"77"	"AT1G29260"	3
"78"	"AT1G30210"	3
"79"	"AT1G30400"	2
"80"	"AT1G30460"	7
"81"	"AT1G30490"	4
"82"	"AT1G30950"	7
"83"	"AT1G30970"	6
"84"	"AT1G31360"	2
"85"	"AT1G32060"	4
"86"	"AT1G32230"	4
"87"	"AT1G32400"	4
"88"	"AT1G32640"	5
"89"	"AT1G35580"	2
"90"	"AT1G35670"	24
"91"	"AT1G43850"	6
"92"	"AT1G45249"	2
"93"	"AT1G47200"	3
"94"	"AT1G47710"	2
"95"	"AT1G47870"	3
"96"	"AT1G48050"	4
"97"	"AT1G48270"	2
"98"	"AT1G48380"	2
"99"	"AT1G49720"	2
"100"	"AT1G50030"	2
"101"	"AT1G50250"	2
"102"	"AT1G50420"	2
"103"	"AT1G50640"	2
"104"	"AT1G51510"	4
"105"	"AT1G51710"	2
"106"	"AT1G52410"	2
"107"	"AT1G52890"	2
"108"	"AT1G52920"	2
"109"	"AT1G53090"	11
"110"	"AT1G53650"	4
"111"	"AT1G53720"	13
"112"	"AT1G54040"	2
"113"	"AT1G55310"	9
"114"	"AT1G55520"	4
"115"	"AT1G56160"	2
"116"	"AT1G56280"	6
"117"	"AT1G59820"	2
"118"	"AT1G59940"	8
"119"	"AT1G61010"	2
"120"	"AT1G62360"	7
"121"	"AT1G63650"	4
"122"	"AT1G64280"	8
"123"	"AT1G64520"	6
"124"	"AT1G64990"	2
"125"	"AT1G65030"	4
"126"	"AT1G65480"	2
"127"	"AT1G65620"	2
"128"	"AT1G66340"	11
"129"	"AT1G66750"	5
"130"	"AT1G68050"	21
"131"	"AT1G69120"	7
"132"	"AT1G69390"	4
"133"	"AT1G69600"	21
"134"	"AT1G69670"	11
"135"	"AT1G70310"	3
"136"	"AT1G70490"	2
"137"	"AT1G70660"	4
"138"	"AT1G70700"	3
"139"	"AT1G71230"	6
"140"	"AT1G71830"	10
"141"	"AT1G73250"	3
"142"	"AT1G73730"	2
"143"	"AT1G75080"	6
"144"	"AT1G75240"	7
"145"	"AT1G75390"	5
"146"	"AT1G75410"	2
"147"	"AT1G75820"	5
"148"	"AT1G75850"	2
"149"	"AT1G75950"	26
"150"	"AT1G76030"	6
"151"	"AT1G76540"	2
"152"	"AT1G78870"	10
"153"	"AT1G79280"	2
"154"	"AT1G79830"	4
"155"	"AT1G79860"	3
"156"	"AT1G80670"	2
"157"	"AT1G80840"	4
"158"	"AT2G01120"	9
"159"	"AT2G01570"	8
"160"	"AT2G01730"	2
"161"	"AT2G01980"	3
"162"	"AT2G02360"	6
"163"	"AT2G02860"	4
"164"	"AT2G02950"	5
"165"	"AT2G03170"	9
"166"	"AT2G03190"	3
"167"	"AT2G05170"	3
"168"	"AT2G05620"	6
"169"	"AT2G07040"	2
"170"	"AT2G13540"	5
"171"	"AT2G13560"	2
"172"	"AT2G15400"	3
"173"	"AT2G16640"	3
"174"	"AT2G17800"	2
"175"	"AT2G17950"	4
"176"	"AT2G18160"	8
"177"	"AT2G18790"	31
"178"	"AT2G18915"	32
"179"	"AT2G18960"	2
"180"	"AT2G19430"	4
"181"	"AT2G20180"	5
"182"	"AT2G20890"	3
"183"	"AT2G22430"	2
"184"	"AT2G22475"	4
"185"	"AT2G22540"	4
"186"	"AT2G22640"	6
"187"	"AT2G23380"	3
"188"	"AT2G23430"	5
"189"	"AT2G24490"	2
"190"	"AT2G24765"	2
"191"	"AT2G24790"	2
"192"	"AT2G24840"	2
"193"	"AT2G25000"	4
"194"	"AT2G25490"	9
"195"	"AT2G25700"	6
"196"	"AT2G25930"	5
"197"	"AT2G26280"	3
"198"	"AT2G26300"	15
"199"	"AT2G26650"	6
"200"	"AT2G26990"	2
"201"	"AT2G27040"	2
"202"	"AT2G27100"	4
"203"	"AT2G27230"	6
"204"	"AT2G27250"	2
"205"	"AT2G27960"	6
"206"	"AT2G30360"	4
"207"	"AT2G30740"	2
"208"	"AT2G31070"	3
"209"	"AT2G31270"	5
"210"	"AT2G31380"	3
"211"	"AT2G32710"	3
"212"	"AT2G32950"	35
"213"	"AT2G33540"	2
"214"	"AT2G33610"	10
"215"	"AT2G34650"	4
"216"	"AT2G34690"	4
"217"	"AT2G35190"	4
"218"	"AT2G35930"	2
"219"	"AT2G36060"	4
"220"	"AT2G36250"	6
"221"	"AT2G36270"	2
"222"	"AT2G36490"	2
"223"	"AT2G36740"	2
"224"	"AT2G36910"	2
"225"	"AT2G37340"	2
"226"	"AT2G37560"	10
"227"	"AT2G37678"	3
"228"	"AT2G37680"	5
"229"	"AT2G38230"	4
"230"	"AT2G38470"	3
"231"	"AT2G38880"	5
"232"	"AT2G39550"	2
"233"	"AT2G39760"	4
"234"	"AT2G39940"	16
"235"	"AT2G40000"	2
"236"	"AT2G40030"	2
"237"	"AT2G40940"	4
"238"	"AT2G41110"	3
"239"	"AT2G41430"	3
"240"	"AT2G42830"	2
"241"	"AT2G43010"	5
"242"	"AT2G43790"	4
"243"	"AT2G44610"	2
"244"	"AT2G44950"	5
"245"	"AT2G45190"	2
"246"	"AT2G45280"	2
"247"	"AT2G45450"	2
"248"	"AT2G45640"	6
"249"	"AT2G45820"	4
"250"	"AT2G46270"	4
"251"	"AT2G46280"	6
"252"	"AT2G46340"	13
"253"	"AT2G46370"	2
"254"	"AT2G46790"	4
