"colBoth.protein"	"colBoth.count"
"1"	"B0003"	2
"2"	"B0004"	3
"3"	"B0015"	7
"4"	"B0023"	6
"5"	"B0026"	2
"6"	"B0031"	4
"7"	"B0033"	5
"8"	"B0036"	2
"9"	"B0039"	4
"10"	"B0042"	2
"11"	"B0048"	5
"12"	"B0049"	6
"13"	"B0050"	3
"14"	"B0051"	4
"15"	"B0052"	5
"16"	"B0053"	3
"17"	"B0054"	4
"18"	"B0061"	5
"19"	"B0062"	3
"20"	"B0063"	3
"21"	"B0072"	6
"22"	"B0073"	5
"23"	"B0074"	13
"24"	"B0078"	3
"25"	"B0083"	13
"26"	"B0084"	23
"27"	"B0085"	15
"28"	"B0086"	16
"29"	"B0087"	16
"30"	"B0088"	15
"31"	"B0089"	18
"32"	"B0090"	16
"33"	"B0091"	15
"34"	"B0093"	19
"35"	"B0094"	14
"36"	"B0095"	18
"37"	"B0096"	8
"38"	"B0098"	17
"39"	"B0107"	3
"40"	"B0114"	5
"41"	"B0115"	7
"42"	"B0116"	4
"43"	"B0125"	2
"44"	"B0133"	2
"45"	"B0140"	6
"46"	"B0143"	3
"47"	"B0145"	2
"48"	"B0149"	4
"49"	"B0151"	3
"50"	"B0152"	3
"51"	"B0153"	4
"52"	"B0167"	3
"53"	"B0169"	16
"54"	"B0170"	5
"55"	"B0171"	4
"56"	"B0172"	6
"57"	"B0179"	7
"58"	"B0180"	6
"59"	"B0181"	8
"60"	"B0182"	7
"61"	"B0183"	3
"62"	"B0184"	19
"63"	"B0185"	5
"64"	"B0198"	3
"65"	"B0215"	5
"66"	"B0231"	2
"67"	"B0232"	2
"68"	"B0233"	2
"69"	"B0241"	2
"70"	"B0243"	7
"71"	"B0269"	5
"72"	"B0273"	7
"73"	"B0286"	4
"74"	"B0304"	2
"75"	"B0312"	3
"76"	"B0331"	3
"77"	"B0333"	4
"78"	"B0340"	2
"79"	"B0343"	3
"80"	"B0344"	4
"81"	"B0345"	9
"82"	"B0366"	2
"83"	"B0369"	4
"84"	"B0400"	16
"85"	"B0406"	3
"86"	"B0407"	3
"87"	"B0408"	4
"88"	"B0415"	4
"89"	"B0430"	3
"90"	"B0431"	3
"91"	"B0432"	3
"92"	"B0438"	7
"93"	"B0439"	5
"94"	"B0440"	5
"95"	"B0448"	2
"96"	"B0463"	5
"97"	"B0470"	10
"98"	"B0472"	11
"99"	"B0496"	2
"100"	"B0507"	7
"101"	"B0516"	2
"102"	"B0523"	8
"103"	"B0531"	9
"104"	"B0532"	8
"105"	"B0570"	14
"106"	"B0571"	4
"107"	"B0573"	2
"108"	"B0584"	3
"109"	"B0585"	2
"110"	"B0586"	3
"111"	"B0589"	5
"112"	"B0590"	5
"113"	"B0592"	4
"114"	"B0594"	5
"115"	"B0595"	4
"116"	"B0605"	3
"117"	"B0616"	2
"118"	"B0617"	3
"119"	"B0620"	3
"120"	"B0623"	6
"121"	"B0634"	8
"122"	"B0640"	8
"123"	"B0650"	2
"124"	"B0651"	2
"125"	"B0654"	5
"126"	"B0655"	2
"127"	"B0659"	3
"128"	"B0660"	2
"129"	"B0674"	4
"130"	"B0676"	3
"131"	"B0677"	5
"132"	"B0678"	5
"133"	"B0679"	5
"134"	"B0684"	2
"135"	"B0688"	2
"136"	"B0693"	4
"137"	"B0694"	16
"138"	"B0695"	5
"139"	"B0696"	4
"140"	"B0697"	4
"141"	"B0700"	3
"142"	"B0712"	2
"143"	"B0717"	9
"144"	"B0718"	6
"145"	"B0720"	9
"146"	"B0722"	3
"147"	"B0723"	4
"148"	"B0724"	8
"149"	"B0726"	6
"150"	"B0727"	10
"151"	"B0728"	4
"152"	"B0729"	7
"153"	"B0734"	5
"154"	"B0737"	8
"155"	"B0738"	3
"156"	"B0739"	7
"157"	"B0740"	12
"158"	"B0741"	7
"159"	"B0750"	2
"160"	"B0754"	5
"161"	"B0757"	3
"162"	"B0758"	2
"163"	"B0761"	4
"164"	"B0763"	4
"165"	"B0764"	6
"166"	"B0765"	4
"167"	"B0775"	4
"168"	"B0776"	5
"169"	"B0777"	4
"170"	"B0783"	7
"171"	"B0784"	4
"172"	"B0793"	2
"173"	"B0809"	3
"174"	"B0810"	11
"175"	"B0811"	11
"176"	"B0826"	2
"177"	"B0827"	7
"178"	"B0831"	7
"179"	"B0832"	14
"180"	"B0856"	5
"181"	"B0857"	6
"182"	"B0860"	12
"183"	"B0861"	9
"184"	"B0862"	9
"185"	"B0863"	9
"186"	"B0871"	3
"187"	"B0879"	3
"188"	"B0880"	4
"189"	"B0882"	4
"190"	"B0886"	4
"191"	"B0887"	4
"192"	"B0888"	5
"193"	"B0890"	6
"194"	"B0894"	8
"195"	"B0895"	5
"196"	"B0896"	3
"197"	"B0902"	6
"198"	"B0903"	4
"199"	"B0908"	4
"200"	"B0910"	2
"201"	"B0911"	12
"202"	"B0912"	3
"203"	"B0915"	3
"204"	"B0918"	4
"205"	"B0922"	3
"206"	"B0923"	3
"207"	"B0924"	5
"208"	"B0928"	5
"209"	"B0929"	4
"210"	"B0930"	3
"211"	"B0934"	3
"212"	"B0935"	4
"213"	"B0936"	4
"214"	"B0939"	6
"215"	"B0940"	8
"216"	"B0945"	5
"217"	"B0951"	2
"218"	"B0954"	3
"219"	"B0957"	6
