"gDMBoth.count"	"freq"
"1"	2	282
"2"	3	20
"3"	4	155
"4"	5	27
"5"	6	86
"6"	7	13
"7"	8	60
"8"	9	12
"9"	10	48
"10"	11	14
"11"	12	28
"12"	13	12
"13"	14	21
"14"	15	11
"15"	16	11
"16"	17	20
"17"	18	14
"18"	19	8
"19"	20	4
"20"	21	4
"21"	22	12
"22"	23	1
"23"	24	7
"24"	25	2
"25"	26	4
"26"	27	2
"27"	28	7
"28"	29	3
"29"	30	4
"30"	31	1
"31"	32	6
"32"	33	4
"33"	34	6
"34"	35	3
"35"	36	6
"36"	37	4
"37"	39	1
"38"	41	3
"39"	42	1
"40"	43	1
"41"	44	2
"42"	46	1
"43"	47	1
"44"	48	2
"45"	49	2
"46"	50	1
"47"	51	1
"48"	53	1
"49"	54	2
"50"	55	2
"51"	57	1
"52"	64	1
"53"	65	1
"54"	70	1
"55"	71	1
"56"	77	2
"57"	82	2
"58"	84	1
"59"	101	1
"60"	105	1
"61"	108	1
"62"	113	1
"63"	114	1
"64"	129	1
"65"	131	1
"66"	170	1
"67"	209	1
"68"	227	1
