"gECBoth.count"	"freq"
"1"	11	1
"2"	13	3
"3"	14	1
"4"	16	5
"5"	17	5
"6"	18	7
"7"	19	3
"8"	20	6
"9"	21	8
"10"	22	10
"11"	23	10
"12"	24	7
"13"	25	4
"14"	26	8
"15"	27	1
"16"	28	3
"17"	29	8
"18"	30	7
"19"	31	6
"20"	32	8
"21"	33	4
"22"	34	6
"23"	35	12
"24"	36	4
"25"	37	5
"26"	38	6
"27"	39	3
"28"	40	3
"29"	41	6
"30"	42	4
"31"	43	8
"32"	44	9
"33"	45	3
"34"	46	4
"35"	47	2
"36"	48	5
"37"	49	3
"38"	50	8
"39"	51	2
"40"	52	3
"41"	53	2
"42"	54	5
"43"	55	8
"44"	56	6
"45"	57	3
"46"	58	6
"47"	59	3
"48"	60	4
"49"	61	5
"50"	62	6
"51"	63	5
"52"	64	4
"53"	65	4
"54"	66	6
"55"	67	3
"56"	68	2
"57"	69	4
"58"	70	1
"59"	71	2
"60"	72	3
"61"	73	2
"62"	75	1
"63"	76	1
"64"	77	6
"65"	78	2
"66"	79	2
"67"	80	2
"68"	81	6
"69"	82	1
"70"	83	2
"71"	84	1
"72"	85	4
"73"	86	2
"74"	87	1
"75"	88	1
"76"	89	3
"77"	90	1
"78"	91	3
"79"	92	3
"80"	93	2
"81"	94	5
"82"	95	4
"83"	96	1
"84"	97	5
"85"	98	3
"86"	99	7
"87"	100	4
"88"	101	8
"89"	102	3
"90"	103	3
"91"	104	4
"92"	105	4
"93"	106	3
"94"	107	9
"95"	108	3
"96"	109	2
"97"	110	3
"98"	111	6
"99"	112	2
"100"	113	10
"101"	114	5
"102"	115	3
"103"	116	6
"104"	117	5
"105"	118	6
"106"	119	4
"107"	120	5
"108"	121	8
"109"	122	10
"110"	123	4
"111"	124	3
"112"	125	6
"113"	126	5
"114"	127	7
"115"	128	12
"116"	129	7
"117"	130	5
"118"	131	5
"119"	132	7
"120"	133	7
"121"	134	5
"122"	135	9
"123"	136	4
"124"	137	7
"125"	138	5
"126"	139	8
"127"	140	3
"128"	141	5
"129"	142	6
"130"	143	4
"131"	144	7
"132"	145	2
"133"	146	7
"134"	147	1
"135"	148	11
"136"	149	4
"137"	150	4
"138"	151	6
"139"	152	1
"140"	153	7
"141"	154	6
"142"	155	8
"143"	156	9
"144"	157	3
"145"	158	7
"146"	159	3
"147"	160	9
"148"	161	6
"149"	162	5
"150"	163	8
"151"	164	4
"152"	165	8
"153"	166	2
"154"	167	4
"155"	168	6
"156"	169	6
"157"	170	9
"158"	171	6
"159"	172	8
"160"	173	7
"161"	174	6
"162"	175	2
"163"	176	5
"164"	177	4
"165"	178	8
"166"	180	6
"167"	181	5
"168"	182	5
"169"	183	6
"170"	184	7
"171"	185	9
"172"	186	2
"173"	187	7
"174"	188	3
"175"	189	1
"176"	190	4
"177"	191	5
"178"	192	4
"179"	193	2
"180"	194	2
"181"	195	6
"182"	196	4
"183"	197	7
"184"	198	5
"185"	199	3
"186"	200	7
"187"	201	5
"188"	202	4
"189"	203	3
"190"	204	4
"191"	205	4
"192"	206	6
"193"	207	5
"194"	208	4
"195"	209	2
"196"	210	4
"197"	211	5
"198"	212	5
"199"	213	7
"200"	214	2
"201"	215	3
"202"	216	2
"203"	217	4
"204"	218	3
"205"	219	5
"206"	220	7
"207"	221	2
"208"	222	2
"209"	223	5
"210"	224	5
"211"	225	2
"212"	226	4
"213"	227	1
"214"	228	7
"215"	229	2
"216"	230	5
"217"	231	1
"218"	232	2
"219"	233	6
"220"	234	2
"221"	235	5
"222"	236	5
"223"	237	5
"224"	238	3
"225"	239	6
"226"	240	3
"227"	241	2
"228"	242	1
"229"	243	6
"230"	244	3
"231"	245	4
"232"	246	4
"233"	247	2
"234"	248	3
"235"	249	2
"236"	250	3
"237"	251	5
"238"	252	10
"239"	253	3
"240"	254	2
"241"	255	1
"242"	256	5
"243"	257	7
"244"	258	7
"245"	259	3
"246"	260	5
"247"	261	2
"248"	262	4
"249"	263	3
"250"	264	1
"251"	265	2
"252"	266	3
"253"	267	3
"254"	268	1
"255"	269	4
"256"	270	2
"257"	271	2
"258"	272	3
"259"	273	2
"260"	274	2
"261"	275	4
"262"	276	2
"263"	278	2
"264"	279	1
"265"	280	3
"266"	281	6
"267"	282	6
"268"	283	3
"269"	284	2
"270"	285	1
"271"	286	1
"272"	287	1
"273"	290	3
"274"	291	1
"275"	292	1
"276"	293	1
"277"	294	4
"278"	295	4
"279"	296	2
"280"	297	1
"281"	298	4
"282"	299	2
"283"	300	3
"284"	301	2
"285"	302	2
"286"	304	3
"287"	305	1
"288"	306	2
"289"	307	1
"290"	308	1
"291"	309	2
"292"	310	1
"293"	311	5
"294"	312	2
"295"	313	2
"296"	314	1
"297"	316	3
"298"	317	1
"299"	318	1
"300"	319	1
"301"	320	4
"302"	321	5
"303"	322	2
"304"	324	6
"305"	325	1
"306"	327	2
"307"	328	3
"308"	329	1
"309"	330	2
"310"	331	1
"311"	332	2
"312"	335	4
"313"	337	2
"314"	338	3
"315"	339	1
"316"	341	1
"317"	342	4
"318"	343	3
"319"	344	1
"320"	345	1
"321"	347	1
"322"	348	4
"323"	350	1
"324"	351	1
"325"	352	2
"326"	353	1
"327"	354	2
"328"	355	1
"329"	357	4
"330"	359	1
"331"	360	1
"332"	361	2
"333"	362	1
"334"	364	1
"335"	368	2
"336"	370	3
"337"	371	3
"338"	372	3
"339"	373	1
"340"	375	1
"341"	377	4
"342"	378	2
"343"	380	1
"344"	381	2
"345"	384	3
"346"	386	2
"347"	387	1
"348"	389	2
"349"	390	2
"350"	391	1
"351"	392	1
"352"	393	1
"353"	396	3
"354"	397	2
"355"	399	2
"356"	400	1
"357"	401	1
"358"	403	3
"359"	406	2
"360"	408	2
"361"	409	1
"362"	411	1
"363"	412	2
"364"	413	2
"365"	414	2
"366"	415	3
"367"	421	1
"368"	423	2
"369"	424	4
"370"	426	1
"371"	427	2
"372"	429	1
"373"	431	3
"374"	432	2
"375"	435	1
"376"	436	2
"377"	437	1
"378"	438	2
"379"	439	1
"380"	440	1
"381"	450	1
"382"	452	2
"383"	457	1
"384"	458	1
"385"	459	1
"386"	462	1
"387"	463	1
"388"	466	1
"389"	469	1
"390"	470	1
"391"	473	1
"392"	479	1
"393"	483	1
"394"	486	1
"395"	487	1
"396"	490	1
"397"	492	1
"398"	494	1
"399"	500	1
"400"	502	1
"401"	505	2
"402"	508	1
"403"	509	1
"404"	516	2
"405"	525	1
"406"	528	1
"407"	531	1
"408"	532	1
"409"	538	1
"410"	553	1
"411"	555	1
"412"	560	2
"413"	562	1
"414"	563	1
"415"	564	1
"416"	565	1
"417"	566	1
"418"	573	1
"419"	575	1
"420"	579	1
"421"	581	1
"422"	584	1
"423"	589	1
"424"	595	1
"425"	603	1
"426"	605	1
"427"	608	1
"428"	609	1
"429"	612	1
"430"	614	1
"431"	619	1
"432"	621	1
"433"	622	1
"434"	624	1
"435"	628	1
"436"	649	1
"437"	650	2
"438"	651	1
"439"	659	1
"440"	665	1
"441"	667	1
"442"	682	1
"443"	694	1
"444"	706	1
"445"	710	1
"446"	723	1
"447"	781	1
"448"	789	1
"449"	806	1
"450"	830	1
"451"	900	1
"452"	961	1
"453"	1005	1
"454"	1009	1
"455"	1033	1
"456"	1050	1
"457"	1052	1
"458"	1195	1
