"gSCBoth.count"	"freq"
"1"	2	23
"2"	3	37
"3"	4	51
"4"	5	53
"5"	6	67
"6"	7	71
"7"	8	72
"8"	9	83
"9"	10	57
"10"	11	92
"11"	12	83
"12"	13	67
"13"	14	72
"14"	15	71
"15"	16	78
"16"	17	77
"17"	18	62
"18"	19	61
"19"	20	57
"20"	21	65
"21"	22	66
"22"	23	65
"23"	24	64
"24"	25	60
"25"	26	45
"26"	27	58
"27"	28	42
"28"	29	49
"29"	30	41
"30"	31	50
"31"	32	41
"32"	33	40
"33"	34	31
"34"	35	37
"35"	36	50
"36"	37	30
"37"	38	35
"38"	39	37
"39"	40	34
"40"	41	40
"41"	42	37
"42"	43	29
"43"	44	33
"44"	45	30
"45"	46	36
"46"	47	39
"47"	48	27
"48"	49	25
"49"	50	33
"50"	51	29
"51"	52	40
"52"	53	31
"53"	54	25
"54"	55	20
"55"	56	23
"56"	57	18
"57"	58	19
"58"	59	23
"59"	60	19
"60"	61	21
"61"	62	16
"62"	63	23
"63"	64	25
"64"	65	16
"65"	66	23
"66"	67	16
"67"	68	13
"68"	69	11
"69"	70	12
"70"	71	25
"71"	72	11
"72"	73	15
"73"	74	18
"74"	75	19
"75"	76	14
"76"	77	20
"77"	78	12
"78"	79	12
"79"	80	15
"80"	81	16
"81"	82	16
"82"	83	9
"83"	84	11
"84"	85	13
"85"	86	9
"86"	87	10
"87"	88	8
"88"	89	14
"89"	90	7
"90"	91	13
"91"	92	10
"92"	93	9
"93"	94	9
"94"	95	17
"95"	96	8
"96"	97	11
"97"	98	15
"98"	99	5
"99"	100	9
"100"	101	8
"101"	102	11
"102"	103	8
"103"	104	8
"104"	105	8
"105"	106	5
"106"	107	9
"107"	108	3
"108"	109	9
"109"	110	6
"110"	111	5
"111"	112	10
"112"	113	11
"113"	114	11
"114"	115	6
"115"	116	11
"116"	117	11
"117"	118	9
"118"	119	6
"119"	120	5
"120"	121	8
"121"	122	10
"122"	123	9
"123"	124	6
"124"	125	7
"125"	126	10
"126"	127	4
"127"	128	7
"128"	129	2
"129"	130	5
"130"	131	7
"131"	132	3
"132"	133	6
"133"	134	3
"134"	135	3
"135"	136	7
"136"	137	11
"137"	138	7
"138"	139	5
"139"	140	2
"140"	141	8
"141"	142	6
"142"	143	5
"143"	144	5
"144"	145	3
"145"	146	5
"146"	147	3
"147"	148	6
"148"	149	7
"149"	150	4
"150"	151	7
"151"	152	5
"152"	153	5
"153"	154	7
"154"	155	4
"155"	156	2
"156"	157	6
"157"	158	3
"158"	159	4
"159"	160	2
"160"	161	6
"161"	162	6
"162"	163	9
"163"	164	3
"164"	165	4
"165"	166	7
"166"	167	8
"167"	168	8
"168"	169	4
"169"	170	6
"170"	171	4
"171"	172	6
"172"	173	5
"173"	174	5
"174"	175	3
"175"	176	4
"176"	177	5
"177"	178	4
"178"	179	3
"179"	180	3
"180"	181	3
"181"	182	5
"182"	183	2
"183"	184	2
"184"	185	2
"185"	186	5
"186"	187	4
"187"	188	3
"188"	189	3
"189"	190	4
"190"	191	1
"191"	192	2
"192"	193	1
"193"	194	7
"194"	195	4
"195"	196	5
"196"	197	4
"197"	198	4
"198"	199	2
"199"	200	4
"200"	201	4
"201"	202	2
"202"	203	1
