"gSPBoth.count"	"freq"
"1"	2	34
"2"	3	43
"3"	4	38
"4"	5	40
"5"	6	41
"6"	7	33
"7"	8	26
"8"	9	39
"9"	10	28
"10"	11	34
"11"	12	29
"12"	13	24
"13"	14	26
"14"	15	22
"15"	16	17
"16"	17	22
"17"	18	10
"18"	19	18
"19"	20	14
"20"	21	19
"21"	22	22
"22"	23	15
"23"	24	10
"24"	25	14
"25"	26	19
"26"	27	14
"27"	28	12
"28"	29	18
"29"	30	7
"30"	31	12
"31"	32	11
"32"	33	11
"33"	34	10
"34"	35	15
"35"	36	13
"36"	37	12
"37"	38	15
"38"	39	13
"39"	40	5
"40"	41	13
"41"	42	11
"42"	43	8
"43"	44	10
"44"	45	4
"45"	46	8
"46"	47	8
"47"	48	8
"48"	49	5
"49"	50	8
"50"	51	5
"51"	52	5
"52"	53	4
"53"	54	6
"54"	55	7
"55"	56	3
"56"	57	4
"57"	58	9
"58"	59	6
"59"	60	4
"60"	61	3
"61"	62	3
"62"	63	6
"63"	64	8
"64"	65	4
"65"	66	3
"66"	67	3
"67"	68	4
"68"	69	7
"69"	70	4
"70"	71	7
"71"	72	1
"72"	73	6
"73"	74	4
"74"	75	3
"75"	76	2
"76"	77	2
"77"	78	2
"78"	79	4
"79"	80	1
"80"	81	2
"81"	82	1
"82"	83	3
"83"	85	1
"84"	86	5
"85"	87	5
"86"	88	4
"87"	89	3
"88"	90	3
"89"	91	4
"90"	92	3
"91"	93	5
"92"	94	2
"93"	95	1
"94"	96	3
"95"	97	3
"96"	98	2
"97"	99	6
"98"	100	4
"99"	101	2
"100"	102	2
"101"	104	1
"102"	105	4
"103"	106	2
"104"	107	2
"105"	108	2
"106"	109	1
"107"	110	3
"108"	111	1
"109"	112	1
"110"	113	2
"111"	114	2
"112"	116	2
"113"	117	2
"114"	118	2
"115"	119	3
"116"	120	1
"117"	121	2
"118"	122	3
"119"	123	2
"120"	124	2
"121"	125	4
"122"	126	4
"123"	127	1
"124"	128	2
"125"	130	2
"126"	131	1
"127"	132	2
"128"	133	3
"129"	134	3
"130"	135	3
"131"	137	3
"132"	140	2
"133"	142	4
"134"	144	2
"135"	145	2
"136"	146	1
"137"	148	1
"138"	149	1
"139"	151	2
"140"	153	2
"141"	154	1
"142"	155	1
"143"	156	2
"144"	158	1
"145"	159	2
"146"	160	1
"147"	161	2
"148"	162	2
"149"	163	1
"150"	164	1
"151"	168	3
"152"	169	1
"153"	170	2
"154"	173	2
"155"	174	1
"156"	175	1
"157"	177	1
"158"	178	1
"159"	182	1
"160"	183	1
"161"	184	1
"162"	185	1
"163"	186	1
"164"	187	2
"165"	188	1
"166"	190	1
"167"	192	1
"168"	193	1
"169"	194	1
"170"	198	1
"171"	199	3
"172"	201	1
"173"	204	2
"174"	207	3
"175"	209	2
"176"	210	1
"177"	214	1
"178"	218	2
"179"	219	1
"180"	220	1
"181"	221	1
"182"	222	1
"183"	223	1
"184"	224	3
"185"	225	1
"186"	226	1
"187"	227	1
"188"	229	1
"189"	230	1
"190"	231	1
"191"	232	2
"192"	237	2
"193"	238	1
"194"	239	5
"195"	245	3
"196"	246	1
"197"	253	2
"198"	256	1
"199"	261	1
"200"	264	1
"201"	267	1
"202"	270	1
"203"	273	2
"204"	274	1
"205"	276	1
"206"	277	1
"207"	282	1
"208"	283	3
"209"	293	1
"210"	294	2
"211"	295	1
"212"	296	2
"213"	299	1
"214"	303	1
"215"	304	1
"216"	306	1
"217"	309	1
"218"	312	2
"219"	315	1
"220"	316	1
"221"	320	2
"222"	321	1
"223"	322	1
"224"	324	1
"225"	326	1
"226"	327	1
"227"	330	2
"228"	333	1
"229"	336	1
"230"	342	1
"231"	343	1
"232"	345	1
"233"	347	1
"234"	349	1
"235"	353	2
"236"	360	2
"237"	363	1
"238"	365	1
"239"	378	1
"240"	379	1
"241"	399	1
"242"	400	1
"243"	438	1
"244"	454	1
"245"	455	1
"246"	464	1
"247"	465	1
"248"	470	1
"249"	474	1
"250"	495	1
"251"	509	1
"252"	525	1
"253"	532	1
"254"	558	1
"255"	582	1
"256"	649	1
