"pATBoth.count"	"freq"
"1"	2	451
"2"	3	399
"3"	4	373
"4"	5	309
"5"	6	230
"6"	7	201
"7"	8	177
"8"	9	128
"9"	10	124
"10"	11	100
"11"	12	114
"12"	13	80
"13"	14	87
"14"	15	58
"15"	16	50
"16"	17	50
"17"	18	57
"18"	19	48
"19"	20	33
"20"	21	35
"21"	22	21
"22"	23	33
"23"	24	23
"24"	25	25
"25"	26	29
"26"	27	20
"27"	28	32
"28"	29	20
"29"	30	28
"30"	31	16
"31"	32	17
"32"	33	18
"33"	34	18
"34"	35	16
"35"	36	9
"36"	37	11
"37"	38	6
"38"	39	11
"39"	40	12
"40"	41	10
"41"	42	7
"42"	43	8
"43"	44	11
"44"	45	6
"45"	46	8
"46"	47	10
"47"	48	6
"48"	49	8
"49"	50	5
"50"	51	3
"51"	52	5
"52"	53	5
"53"	54	1
"54"	55	3
"55"	56	2
"56"	57	4
"57"	58	2
"58"	59	4
"59"	60	2
"60"	61	4
"61"	62	4
"62"	63	5
"63"	64	1
"64"	65	4
"65"	67	1
"66"	68	1
"67"	69	3
"68"	70	2
"69"	71	2
"70"	72	4
"71"	73	1
"72"	74	2
"73"	75	3
"74"	76	3
"75"	78	2
"76"	80	2
"77"	85	1
"78"	86	1
"79"	88	1
"80"	89	2
"81"	92	1
"82"	95	1
"83"	97	1
"84"	98	1
"85"	99	1
"86"	105	2
"87"	107	1
"88"	111	1
"89"	115	1
"90"	118	1
"91"	125	1
"92"	126	1
"93"	131	1
"94"	134	2
"95"	137	1
"96"	146	1
"97"	147	1
"98"	150	1
"99"	151	1
"100"	152	1
"101"	154	1
"102"	157	1
"103"	158	2
"104"	162	1
"105"	164	1
"106"	170	1
"107"	171	1
"108"	181	1
"109"	184	1
"110"	186	1
"111"	194	1
"112"	220	1
"113"	223	1
"114"	231	1
"115"	232	1
"116"	238	1
"117"	242	1
"118"	264	1
"119"	279	1
"120"	360	1
"121"	448	1
"122"	1336	1
