"pDMBoth.count"	"freq"
"1"	2	449
"2"	3	442
"3"	4	381
"4"	5	314
"5"	6	264
"6"	7	215
"7"	8	201
"8"	9	177
"9"	10	149
"10"	11	147
"11"	12	102
"12"	13	116
"13"	14	101
"14"	15	92
"15"	16	87
"16"	17	77
"17"	18	73
"18"	19	57
"19"	20	49
"20"	21	46
"21"	22	56
"22"	23	52
"23"	24	48
"24"	25	39
"25"	26	44
"26"	27	40
"27"	28	31
"28"	29	24
"29"	30	24
"30"	31	35
"31"	32	27
"32"	33	28
"33"	34	24
"34"	35	25
"35"	36	15
"36"	37	16
"37"	38	23
"38"	39	18
"39"	40	19
"40"	41	22
"41"	42	16
"42"	43	16
"43"	44	13
"44"	45	9
"45"	46	15
"46"	47	13
"47"	48	8
"48"	49	10
"49"	50	9
"50"	51	18
"51"	52	7
"52"	53	10
"53"	54	8
"54"	55	7
"55"	56	7
"56"	57	3
"57"	58	5
"58"	59	7
"59"	60	4
"60"	61	3
"61"	62	6
"62"	63	5
"63"	64	4
"64"	65	6
"65"	66	9
"66"	67	4
"67"	68	3
"68"	69	4
"69"	70	5
"70"	71	1
"71"	72	2
"72"	73	2
"73"	74	5
"74"	75	3
"75"	77	4
"76"	78	4
"77"	79	5
"78"	80	1
"79"	81	2
"80"	82	2
"81"	83	3
"82"	84	2
"83"	85	2
"84"	86	3
"85"	87	2
"86"	88	1
"87"	89	5
"88"	90	3
"89"	91	1
"90"	92	2
"91"	93	1
"92"	97	2
"93"	98	1
"94"	99	1
"95"	100	2
"96"	102	1
"97"	103	1
"98"	104	1
"99"	105	1
"100"	107	1
"101"	109	1
"102"	110	1
"103"	111	1
"104"	112	1
"105"	114	1
"106"	120	1
"107"	124	1
"108"	126	1
"109"	127	1
"110"	128	1
"111"	129	1
"112"	140	1
"113"	141	1
"114"	144	1
"115"	166	1
"116"	173	1
"117"	174	1
"118"	175	1
"119"	184	1
