"pHSBoth.count"	"freq"
"1"	2	580
"2"	3	549
"3"	4	421
"4"	5	406
"5"	6	381
"6"	7	396
"7"	8	357
"8"	9	340
"9"	10	315
"10"	11	303
"11"	12	270
"12"	13	233
"13"	14	231
"14"	15	209
"15"	16	249
"16"	17	202
"17"	18	149
"18"	19	199
"19"	20	195
"20"	21	162
"21"	22	167
"22"	23	159
"23"	24	120
"24"	25	139
"25"	26	122
"26"	27	153
"27"	28	121
"28"	29	120
"29"	30	127
"30"	31	104
"31"	32	118
"32"	33	92
"33"	34	118
"34"	35	105
"35"	36	83
"36"	37	95
"37"	38	82
"38"	39	100
"39"	40	90
"40"	41	82
"41"	42	74
"42"	43	76
"43"	44	79
"44"	45	70
"45"	46	72
"46"	47	73
"47"	48	81
"48"	49	57
"49"	50	68
"50"	51	60
"51"	52	49
"52"	53	66
"53"	54	45
"54"	55	50
"55"	56	53
"56"	57	57
"57"	58	36
"58"	59	39
"59"	60	38
"60"	61	46
"61"	62	32
"62"	63	46
"63"	64	38
"64"	65	49
"65"	66	40
"66"	67	41
"67"	68	42
"68"	69	32
"69"	70	29
"70"	71	38
"71"	72	33
"72"	73	33
"73"	74	30
"74"	75	28
"75"	76	36
"76"	77	37
"77"	78	27
"78"	79	30
"79"	80	25
"80"	81	36
"81"	82	23
"82"	83	25
"83"	84	23
"84"	85	31
"85"	86	27
"86"	87	23
"87"	88	14
"88"	89	25
"89"	90	16
"90"	91	23
"91"	92	14
"92"	93	15
"93"	94	10
"94"	95	12
"95"	96	17
"96"	97	22
"97"	98	20
"98"	99	22
"99"	100	22
"100"	101	18
"101"	102	17
"102"	103	14
"103"	104	11
"104"	105	17
"105"	106	10
"106"	107	11
"107"	108	8
"108"	109	8
"109"	110	19
"110"	111	14
"111"	112	15
"112"	113	14
"113"	114	13
"114"	115	8
"115"	116	8
"116"	117	7
"117"	118	9
"118"	119	18
"119"	120	15
"120"	121	16
"121"	122	11
"122"	123	8
"123"	124	6
"124"	125	12
"125"	126	7
"126"	127	14
"127"	128	4
"128"	129	10
"129"	130	5
"130"	131	9
"131"	132	11
"132"	133	8
"133"	134	7
"134"	135	4
"135"	136	6
"136"	137	6
"137"	138	10
"138"	139	10
"139"	140	6
"140"	141	7
"141"	142	9
"142"	143	11
"143"	144	8
"144"	145	8
"145"	146	8
"146"	147	6
"147"	148	8
"148"	149	7
"149"	150	5
"150"	151	10
"151"	152	6
"152"	153	5
"153"	154	4
"154"	155	7
"155"	156	3
"156"	157	4
"157"	158	6
"158"	159	5
"159"	160	5
"160"	161	5
"161"	162	4
"162"	163	4
"163"	164	7
"164"	165	8
"165"	166	5
"166"	167	4
"167"	168	4
"168"	169	4
"169"	170	2
"170"	171	1
"171"	172	4
"172"	173	4
"173"	174	2
"174"	175	5
"175"	176	5
"176"	177	4
"177"	178	4
"178"	179	6
"179"	180	7
"180"	181	1
"181"	182	4
"182"	183	3
"183"	184	3
"184"	185	5
"185"	186	8
"186"	187	2
"187"	188	4
"188"	189	2
"189"	190	3
"190"	191	4
"191"	192	4
"192"	193	5
"193"	194	3
"194"	195	5
"195"	196	1
"196"	197	3
"197"	198	8
"198"	199	3
"199"	200	5
"200"	201	3
"201"	202	4
"202"	203	3
"203"	204	2
"204"	205	3
"205"	206	5
"206"	207	2
"207"	208	1
"208"	209	4
"209"	210	6
"210"	211	3
"211"	212	4
"212"	213	3
"213"	214	3
"214"	215	2
"215"	216	3
"216"	217	2
"217"	218	7
"218"	219	2
"219"	220	1
"220"	221	4
"221"	222	5
"222"	223	1
"223"	224	1
"224"	225	4
"225"	226	2
"226"	227	2
"227"	228	4
"228"	230	1
"229"	232	3
"230"	233	2
"231"	234	1
"232"	235	4
"233"	237	3
"234"	238	3
"235"	242	2
"236"	243	1
"237"	244	6
"238"	245	4
"239"	246	5
"240"	247	2
"241"	248	2
"242"	249	2
"243"	250	2
"244"	251	1
"245"	252	2
"246"	253	1
"247"	255	1
"248"	256	1
"249"	257	3
"250"	258	2
"251"	259	2
"252"	260	1
"253"	262	3
"254"	263	4
"255"	264	1
"256"	265	1
"257"	266	3
"258"	268	1
"259"	269	1
"260"	270	1
"261"	271	1
"262"	272	2
"263"	273	2
"264"	274	1
"265"	275	1
"266"	276	1
"267"	277	2
"268"	281	2
"269"	282	3
"270"	283	1
"271"	284	1
"272"	287	5
"273"	288	2
"274"	289	2
"275"	290	2
"276"	291	1
"277"	294	2
"278"	295	2
"279"	297	2
"280"	299	2
"281"	300	1
"282"	301	1
"283"	302	1
"284"	303	2
"285"	305	1
"286"	307	1
"287"	308	3
"288"	310	3
"289"	311	1
"290"	313	2
"291"	315	1
"292"	316	1
"293"	317	1
"294"	318	1
"295"	319	2
"296"	322	1
"297"	323	2
"298"	325	2
"299"	326	1
"300"	329	3
"301"	330	1
"302"	331	1
"303"	332	1
"304"	334	1
"305"	335	1
"306"	336	2
"307"	339	2
"308"	341	1
"309"	345	2
"310"	350	2
"311"	351	1
"312"	354	1
"313"	355	1
"314"	361	1
"315"	364	2
"316"	365	1
"317"	367	1
"318"	368	1
"319"	369	1
"320"	375	1
"321"	377	1
"322"	379	1
"323"	380	2
"324"	382	1
"325"	383	1
"326"	388	1
"327"	389	1
"328"	390	1
"329"	391	2
"330"	399	1
"331"	401	2
"332"	403	1
"333"	406	1
"334"	407	1
"335"	409	2
"336"	413	1
"337"	418	1
"338"	419	1
"339"	421	1
"340"	423	1
"341"	427	1
"342"	429	1
"343"	434	1
"344"	437	1
"345"	446	1
"346"	449	1
"347"	453	1
"348"	467	1
"349"	468	1
"350"	472	2
"351"	476	1
"352"	489	1
"353"	492	1
"354"	498	1
"355"	501	1
"356"	502	1
"357"	506	1
"358"	548	1
"359"	552	1
"360"	565	1
"361"	570	1
"362"	573	2
"363"	599	1
"364"	610	1
"365"	621	2
"366"	626	1
"367"	629	1
"368"	649	1
"369"	654	1
"370"	661	1
"371"	667	1
"372"	668	1
"373"	674	1
"374"	707	1
"375"	720	1
"376"	723	1
"377"	735	1
"378"	769	1
"379"	784	1
"380"	835	1
"381"	869	1
"382"	933	1
"383"	937	1
"384"	945	1
"385"	997	1
"386"	1144	1
"387"	1167	1
"388"	1262	1
"389"	1269	1
"390"	1568	1
"391"	1798	1
"392"	1958	1
"393"	2329	1
