"pSCBoth.count"	"freq"
"1"	2	80
"2"	3	84
"3"	4	128
"4"	5	116
"5"	6	155
"6"	7	137
"7"	8	130
"8"	9	139
"9"	10	133
"10"	11	112
"11"	12	108
"12"	13	128
"13"	14	124
"14"	15	99
"15"	16	83
"16"	17	91
"17"	18	88
"18"	19	67
"19"	20	89
"20"	21	84
"21"	22	65
"22"	23	70
"23"	24	72
"24"	25	55
"25"	26	71
"26"	27	57
"27"	28	68
"28"	29	66
"29"	30	53
"30"	31	52
"31"	32	38
"32"	33	53
"33"	34	40
"34"	35	42
"35"	36	32
"36"	37	32
"37"	38	35
"38"	39	35
"39"	40	37
"40"	41	40
"41"	42	26
"42"	43	32
"43"	44	27
"44"	45	29
"45"	46	41
"46"	47	29
"47"	48	30
"48"	49	31
"49"	50	30
"50"	51	26
"51"	52	25
"52"	53	21
"53"	54	46
"54"	55	30
"55"	56	22
"56"	57	21
"57"	58	29
"58"	59	16
"59"	60	25
"60"	61	21
"61"	62	20
"62"	63	18
"63"	64	15
"64"	65	15
"65"	66	27
"66"	67	15
"67"	68	16
"68"	69	11
"69"	70	15
"70"	71	15
"71"	72	14
"72"	73	15
"73"	74	9
"74"	75	11
"75"	76	9
"76"	77	16
"77"	78	15
"78"	79	8
"79"	80	7
"80"	81	12
"81"	82	10
"82"	83	6
"83"	84	11
"84"	85	8
"85"	86	10
"86"	87	7
"87"	88	12
"88"	89	6
"89"	90	8
"90"	91	6
"91"	92	3
"92"	93	7
"93"	94	5
"94"	95	8
"95"	96	9
"96"	97	8
"97"	98	2
"98"	99	3
"99"	100	7
"100"	101	4
"101"	102	3
"102"	103	8
"103"	104	7
"104"	105	2
"105"	106	4
"106"	107	6
"107"	108	7
"108"	109	5
"109"	110	3
"110"	111	7
"111"	112	5
"112"	114	4
"113"	115	4
"114"	116	4
"115"	117	2
"116"	118	4
"117"	119	4
"118"	120	4
"119"	121	3
"120"	122	2
"121"	123	1
"122"	124	3
"123"	125	7
"124"	126	3
"125"	127	5
"126"	128	1
"127"	129	2
"128"	130	3
"129"	131	2
"130"	132	5
"131"	133	1
"132"	134	2
"133"	135	5
"134"	136	2
"135"	137	2
"136"	138	1
"137"	139	3
"138"	140	1
"139"	141	4
"140"	142	1
"141"	144	4
"142"	145	2
"143"	146	2
"144"	147	2
"145"	148	2
"146"	149	2
"147"	150	1
"148"	151	4
"149"	154	5
"150"	155	1
"151"	156	1
"152"	157	2
"153"	158	3
"154"	159	1
"155"	160	2
"156"	162	2
"157"	163	1
"158"	164	2
"159"	166	1
"160"	168	3
"161"	171	2
"162"	173	1
"163"	175	2
"164"	177	2
"165"	179	1
"166"	180	2
"167"	182	1
"168"	183	1
"169"	185	2
"170"	188	2
"171"	189	1
"172"	191	1
"173"	192	1
"174"	193	1
"175"	194	1
"176"	195	1
"177"	201	1
"178"	202	1
"179"	207	2
"180"	209	2
"181"	213	1
"182"	218	2
"183"	219	1
"184"	221	2
"185"	222	2
"186"	223	1
"187"	226	1
"188"	235	1
"189"	237	1
"190"	238	1
"191"	242	1
"192"	249	1
"193"	252	2
"194"	255	2
"195"	260	1
"196"	273	1
"197"	280	1
"198"	295	1
"199"	305	3
"200"	313	1
"201"	314	1
"202"	325	1
"203"	335	1
"204"	339	1
"205"	363	1
"206"	371	1
"207"	373	1
"208"	377	1
"209"	383	1
"210"	387	1
"211"	396	1
"212"	397	1
"213"	413	1
"214"	428	1
"215"	429	1
"216"	431	1
"217"	449	1
"218"	461	1
"219"	465	1
"220"	474	1
"221"	510	1
"222"	516	1
"223"	529	1
"224"	533	1
"225"	542	1
"226"	576	1
"227"	601	1
"228"	627	1
"229"	632	1
"230"	671	1
"231"	815	1
"232"	823	1
"233"	845	1
"234"	862	1
"235"	872	1
"236"	937	1
"237"	1102	1
"238"	1134	1
"239"	1198	1
"240"	1790	1
"241"	2125	1
"242"	2597	1
