"pSPBoth.count"	"freq"
"1"	2	201
"2"	3	127
"3"	4	156
"4"	5	105
"5"	6	94
"6"	7	76
"7"	8	85
"8"	9	70
"9"	10	55
"10"	11	62
"11"	12	41
"12"	13	32
"13"	14	25
"14"	15	25
"15"	16	19
"16"	17	16
"17"	18	20
"18"	19	25
"19"	20	17
"20"	21	11
"21"	22	13
"22"	23	14
"23"	24	10
"24"	25	4
"25"	26	3
"26"	27	7
"27"	28	11
"28"	29	6
"29"	30	1
"30"	34	2
"31"	35	1
"32"	36	1
"33"	37	2
"34"	38	2
"35"	40	3
"36"	41	3
"37"	42	1
"38"	43	3
"39"	44	2
"40"	45	3
"41"	46	1
"42"	47	2
"43"	48	1
"44"	50	1
"45"	51	2
"46"	52	1
"47"	53	1
"48"	54	1
"49"	61	1
"50"	62	1
"51"	63	2
"52"	66	1
"53"	70	1
"54"	74	2
"55"	76	1
"56"	78	2
"57"	79	1
"58"	82	2
"59"	84	1
"60"	87	1
"61"	88	1
"62"	89	1
"63"	95	1
"64"	96	1
"65"	104	1
"66"	105	1
"67"	133	1
"68"	144	2
"69"	146	1
"70"	152	1
"71"	154	1
"72"	157	1
"73"	172	1
"74"	237	1
"75"	238	1
"76"	265	1
"77"	279	1
"78"	300	1
