"test5.gene"	"test5.count"
"1"	"15S_RRNA"	2
"2"	"AAC1"	31
"3"	"AAC3"	27
"4"	"AAD14"	4
"5"	"AAD16"	8
"6"	"AAD3"	7
"7"	"AAD6"	7
"8"	"AAH1"	145
"9"	"AAP1"	17
"10"	"AAR2"	20
"11"	"AAT1"	44
"12"	"AAT2"	181
"13"	"ABD1"	127
"14"	"ABF1"	42
"15"	"ABF2"	79
"16"	"ABM1"	8
"17"	"ABP1"	104
"18"	"ABP140"	32
"19"	"ABZ1"	52
"20"	"ABZ2"	28
"21"	"ACA1"	38
"22"	"ACB1"	63
"23"	"ACC1"	81
"24"	"ACE2"	150
"25"	"ACF2"	32
"26"	"ACF4"	28
"27"	"ACH1"	119
"28"	"ACK1"	59
"29"	"ACL4"	20
"30"	"ACM1"	25
"31"	"ACO1"	190
"32"	"ACO2"	65
"33"	"ACP1"	24
"34"	"ACS1"	40
"35"	"ACS2"	195
"36"	"ACT1"	739
"37"	"ADA2"	306
"38"	"ADD66"	37
"39"	"ADE1"	37
"40"	"ADE12"	28
"41"	"ADE13"	53
"42"	"ADE16"	39
"43"	"ADE17"	72
"44"	"ADE2"	45
"45"	"ADE3"	43
"46"	"ADE4"	37
"47"	"ADE5,7"	38
"48"	"ADE6"	68
"49"	"ADE8"	20
"50"	"ADH1"	154
"51"	"ADH2"	36
"52"	"ADH3"	149
"53"	"ADH4"	58
"54"	"ADH5"	14
"55"	"ADH6"	44
"56"	"ADH7"	15
"57"	"ADI1"	42
"58"	"ADK1"	70
"59"	"ADK2"	17
"60"	"ADO1"	170
"61"	"ADP1"	41
"62"	"ADR1"	108
"63"	"ADY2"	11
"64"	"ADY3"	66
"65"	"ADY4"	22
"66"	"AEP2"	109
"67"	"AEP3"	45
"68"	"AFG1"	15
"69"	"AFG2"	34
"70"	"AFG3"	88
"71"	"AFI1"	9
"72"	"AFR1"	21
"73"	"AFT1"	254
"74"	"AFT2"	32
"75"	"AGA1"	27
"76"	"AGC1"	14
"77"	"AGE1"	44
"78"	"AGE2"	130
"79"	"AGP1"	132
"80"	"AGP2"	20
"81"	"AGP3"	19
"82"	"AGX1"	18
"83"	"AHA1"	99
"84"	"AHC1"	86
"85"	"AHC2"	47
"86"	"AHK1"	11
"87"	"AHP1"	65
"88"	"AIF1"	16
"89"	"AIM14"	26
"90"	"AIM17"	20
"91"	"AIM18"	37
"92"	"AIM21"	39
"93"	"AIM22"	131
"94"	"AIM26"	19
"95"	"AIM3"	181
"96"	"AIM33"	37
"97"	"AIM34"	89
"98"	"AIM4"	294
"99"	"AIM41"	14
"100"	"AIM44"	433
"101"	"AIM45"	46
"102"	"AIM46"	22
"103"	"AIM7"	28
"104"	"AIP1"	43
"105"	"AIR1"	85
"106"	"AIR2"	70
"107"	"AKL1"	147
"108"	"AKR1"	146
"109"	"AKR2"	21
"110"	"ALA1"	81
"111"	"ALB1"	68
"112"	"ALD2"	22
"113"	"ALD3"	16
"114"	"ALD4"	29
"115"	"ALD5"	61
"116"	"ALD6"	83
"117"	"ALE1"	36
"118"	"ALF1"	27
"119"	"ALG1"	90
"120"	"ALG11"	20
"121"	"ALG12"	126
"122"	"ALG13"	25
"123"	"ALG14"	24
"124"	"ALG2"	7
"125"	"ALG3"	122
"126"	"ALG5"	214
"127"	"ALG6"	244
"128"	"ALG7"	46
"129"	"ALG8"	219
"130"	"ALG9"	238
"131"	"ALK1"	15
"132"	"ALK2"	115
"133"	"ALO1"	58
"134"	"ALP1"	38
"135"	"ALR1"	42
"136"	"ALR2"	20
"137"	"ALT1"	198
"138"	"ALT2"	34
"139"	"ALY1"	32
"140"	"ALY2"	68
"141"	"AMA1"	20
"142"	"AMD1"	86
"143"	"AMD2"	24
"144"	"AME1"	127
"145"	"AMN1"	42
"146"	"AMS1"	18
"147"	"ANB1"	34
"148"	"ANP1"	490
"149"	"ANR2"	10
"150"	"ANT1"	39
"151"	"AOS1"	19
"152"	"APA1"	24
"153"	"APA2"	26
"154"	"APC1"	61
"155"	"APC11"	53
"156"	"APC2"	56
"157"	"APC4"	38
"158"	"APC5"	161
"159"	"APC9"	70
"160"	"APE1"	64
"161"	"APE2"	83
"162"	"APE3"	22
"163"	"APE4"	26
"164"	"APJ1"	37
"165"	"APL1"	85
"166"	"APL2"	98
"167"	"APL3"	50
"168"	"APL4"	122
"169"	"APL5"	165
"170"	"APL6"	124
"171"	"APM1"	92
"172"	"APM2"	18
"173"	"APM3"	159
"174"	"APM4"	41
"175"	"APN1"	98
"176"	"APN2"	46
"177"	"APP1"	68
"178"	"APQ12"	515
"179"	"APS1"	110
"180"	"APS2"	37
"181"	"APS3"	104
"182"	"APT1"	28
"183"	"APT2"	27
"184"	"AQY1"	20
"185"	"AQY2"	15
"186"	"ARA1"	22
"187"	"ARB1"	84
"188"	"ARC1"	185
"189"	"ARC15"	119
"190"	"ARC18"	222
"191"	"ARC19"	28
"192"	"ARC35"	130
"193"	"ARC40"	91
"194"	"ARD1"	371
"195"	"ARE1"	72
"196"	"ARE2"	114
"197"	"ARF1"	462
"198"	"ARF2"	85
"199"	"ARF3"	47
"200"	"ARG1"	19
"201"	"ARG2"	24
"202"	"ARG3"	23
"203"	"ARG4"	14
"204"	"ARG5,6"	14
"205"	"ARG7"	52
"206"	"ARG8"	6
"207"	"ARG80"	28
"208"	"ARG81"	38
"209"	"ARG82"	41
"210"	"ARH1"	6
"211"	"ARI1"	14
"212"	"ARK1"	71
"213"	"ARL1"	380
"214"	"ARL3"	305
"215"	"ARN1"	21
"216"	"ARN2"	14
"217"	"ARO1"	416
"218"	"ARO10"	15
"219"	"ARO2"	195
"220"	"ARO3"	19
"221"	"ARO4"	30
"222"	"ARO7"	144
"223"	"ARO8"	53
"224"	"ARO80"	26
"225"	"ARO9"	21
"226"	"ARP1"	314
"227"	"ARP10"	10
"228"	"ARP2"	238
"229"	"ARP3"	83
"230"	"ARP4"	312
"231"	"ARP5"	49
"232"	"ARP6"	471
"233"	"ARP7"	74
"234"	"ARP8"	535
"235"	"ARP9"	123
"236"	"ARR1"	55
"237"	"ARR2"	4
"238"	"ARR3"	23
"239"	"ART10"	10
"240"	"ART5"	24
"241"	"ARV1"	348
"242"	"ARX1"	206
"243"	"ASA1"	386
"244"	"ASC1"	286
"245"	"ASE1"	174
"246"	"ASF1"	484
"247"	"ASF2"	19
"248"	"ASG1"	29
"249"	"ASG7"	11
"250"	"ASH1"	86
"251"	"ASI1"	39
"252"	"ASI2"	20
"253"	"ASI3"	47
"254"	"ASK1"	44
"255"	"ASK10"	206
"256"	"ASM4"	100
"257"	"ASN1"	29
"258"	"ASN2"	26
"259"	"ASP1"	20
"260"	"ASP3-2"	15
"261"	"ASP3-4"	17
"262"	"ASR1"	61
