"protein"	"freq.x"	"freq.y"	"count"
"1"	"LSR1"	1	7	8
"2"	"NME1"	10	6	16
"3"	"Q0020"	1	1	2
"4"	"Q0045"	26	23	49
"5"	"Q0080"	5	8	13
"6"	"Q0085"	14	12	26
"7"	"Q0105"	17	18	35
"8"	"Q0110"	1	3	4
"9"	"Q0120"	3	6	9
"10"	"Q0130"	1	11	12
"11"	"Q0140"	1	12	13
"12"	"Q0250"	12	31	43
"13"	"Q0275"	8	21	29
"14"	"RDN25-1"	1	20	21
"15"	"snR14"	1	8	9
"16"	"snR30"	16	13	29
"17"	"snR35"	1	11	12
"18"	"snR6"	3	11	14
"19"	"snR7-L"	2	10	12
"20"	"tD(GUC)B"	1	1	2
"21"	"tD(GUC)D"	1	1	2
"22"	"tD(GUC)G1"	1	1	2
"23"	"tD(GUC)G2"	1	1	2
"24"	"tD(GUC)I1"	1	1	2
"25"	"tD(GUC)I2"	1	1	2
"26"	"tD(GUC)J1"	1	1	2
"27"	"tD(GUC)J2"	1	1	2
"28"	"tD(GUC)J3"	1	1	2
"29"	"tD(GUC)J4"	1	1	2
"30"	"tD(GUC)K"	1	1	2
"31"	"tD(GUC)L1"	1	1	2
"32"	"tD(GUC)L2"	1	1	2
"33"	"tD(GUC)M"	1	1	2
"34"	"tD(GUC)N"	1	1	2
"35"	"tD(GUC)O"	1	1	2
"36"	"tD(GUC)Q"	2	1	3
"37"	"tI(GAU)Q"	3	1	4
"38"	"TLC1"	54	19	73
"39"	"tL(UAA)Q"	1	1	2
"40"	"tL(UAG)L1"	1	1	2
"41"	"tM(CAU)C"	1	1	2
"42"	"tR(CCG)L"	3	2	5
"43"	"tS(CGA)C"	3	2	5
"44"	"tW(CCA)G1"	1	2	3
"45"	"tY(GUA)F1"	1	1	2
"46"	"tY(GUA)J2"	5	8	13
"47"	"YAL001C"	22	19	41
"48"	"YAL002W"	136	277	413
"49"	"YAL003W"	14	48	62
"50"	"YAL005C"	351	530	881
"51"	"YAL007C"	51	58	109
"52"	"YAL008W"	2	14	16
"53"	"YAL009W"	67	14	81
"54"	"YAL010C"	116	136	252
"55"	"YAL011W"	153	282	435
"56"	"YAL012W"	66	123	189
"57"	"YAL013W"	328	273	601
"58"	"YAL014C"	17	17	34
"59"	"YAL015C"	26	19	45
"60"	"YAL016W"	24	47	71
"61"	"YAL017W"	50	29	79
"62"	"YAL019W"	29	80	109
"63"	"YAL020C"	61	50	111
"64"	"YAL021C"	224	113	337
"65"	"YAL022C"	3	7	10
"66"	"YAL023C"	110	133	243
"67"	"YAL024C"	312	162	474
"68"	"YAL025C"	43	28	71
"69"	"YAL026C"	131	138	269
"70"	"YAL027W"	34	22	56
"71"	"YAL028W"	10	62	72
"72"	"YAL029C"	21	44	65
"73"	"YAL030W"	25	43	68
"74"	"YAL032C"	63	32	95
"75"	"YAL033W"	7	20	27
"76"	"YAL034C"	7	15	22
"77"	"YAL034W-A"	76	42	118
"78"	"YAL035W"	35	54	89
"79"	"YAL036C"	14	27	41
"80"	"YAL038W"	25	131	156
"81"	"YAL039C"	4	23	27
"82"	"YAL040C"	70	122	192
"83"	"YAL041W"	136	56	192
"84"	"YAL042W"	35	68	103
"85"	"YAL043C"	73	58	131
"86"	"YAL044C"	12	40	52
"87"	"YAL044W-A"	4	3	7
"88"	"YAL046C"	3	8	11
"89"	"YAL047C"	83	63	146
"90"	"YAL048C"	56	81	137
"91"	"YAL051W"	13	37	50
"92"	"YAL053W"	33	30	63
"93"	"YAL054C"	18	23	41
"94"	"YAL055W"	8	50	58
"95"	"YAL056W"	28	36	64
"96"	"YAL058W"	100	103	203
"97"	"YAL059W"	48	30	78
"98"	"YAL060W"	18	19	37
"99"	"YAL061W"	2	7	9
"100"	"YAL062W"	2	21	23
"101"	"YAL063C"	7	8	15
"102"	"YAR002C-A"	103	94	197
"103"	"YAR002W"	144	151	295
"104"	"YAR003W"	143	183	326
"105"	"YAR007C"	123	112	235
"106"	"YAR008W"	4	7	11
"107"	"YAR009C"	2	7	9
"108"	"YAR010C"	1	20	21
"109"	"YAR014C"	90	94	184
"110"	"YAR015W"	12	25	37
"111"	"YAR018C"	154	87	241
"112"	"YAR019C"	58	61	119
"113"	"YAR023C"	1	6	7
"114"	"YAR027W"	35	40	75
"115"	"YAR028W"	7	15	22
"116"	"YAR029W"	46	59	105
"117"	"YAR031W"	7	15	22
"118"	"YAR033W"	5	13	18
"119"	"YAR042W"	34	43	77
"120"	"YAR050W"	1	15	16
"121"	"YBL001C"	2	14	16
"122"	"YBL002W"	112	120	232
"123"	"YBL003C"	177	151	328
"124"	"YBL004W"	26	54	80
"125"	"YBL005W"	40	37	77
"126"	"YBL006C"	6	33	39
"127"	"YBL007C"	266	250	516
"128"	"YBL008W"	131	125	256
"129"	"YBL009W"	124	11	135
"130"	"YBL011W"	26	67	93
"131"	"YBL013W"	28	31	59
"132"	"YBL014C"	7	18	25
"133"	"YBL015W"	74	48	122
"134"	"YBL016W"	175	158	333
"135"	"YBL017C"	38	95	133
"136"	"YBL018C"	25	93	118
"137"	"YBL019W"	24	22	46
"138"	"YBL020W"	12	11	23
"139"	"YBL021C"	89	86	175
"140"	"YBL022C"	10	63	73
"141"	"YBL023C"	87	61	148
"142"	"YBL024W"	48	53	101
"143"	"YBL025W"	6	23	29
"144"	"YBL026W"	72	34	106
"145"	"YBL027W"	2	77	79
"146"	"YBL028C"	3	8	11
"147"	"YBL030C"	86	55	141
"148"	"YBL031W"	30	59	89
"149"	"YBL032W"	1125	37	1162
"150"	"YBL033C"	2	7	9
"151"	"YBL034C"	122	27	149
"152"	"YBL035C"	89	20	109
"153"	"YBL036C"	10	40	50
"154"	"YBL037W"	16	34	50
"155"	"YBL038W"	26	17	43
"156"	"YBL039C"	93	80	173
"157"	"YBL039W-B"	1	2	3
"158"	"YBL040C"	8	15	23
"159"	"YBL041W"	27	34	61
"160"	"YBL042C"	6	17	23
"161"	"YBL043W"	2	18	20
"162"	"YBL045C"	77	67	144
"163"	"YBL046W"	13	30	43
"164"	"YBL047C"	91	117	208
"165"	"YBL049W"	8	10	18
